Ticker,company,minusfiftyper,minustwentyfiveper,minusfifteenper,minustenper,minuseightper,minussixper,minusfourper,minustwoper,twoper,fourper,sixper,eightper,tenper,fifteenper,twentyfiveper,fiftyper,ticker_company
DAL,"DELTA AIR LINES INC",0.00000001,0.0000001,0.000001,0.03,0.04,0.07,0.17,0.29,0.32,0.21,0.11,0.04,0.01,0.00001,0.000001,0.000001,"DAL,DELTA AIR LINES INC"
DE,"DEERE & CO",0.00000001,0.0000001,0.000001,0.00001,0.01,0.07,0.15,0.23,0.33,0.15,0.09,0.04,0.04,0.00001,0.000001,0.000001,"DE,DEERE & CO"
DFS,"DISCOVER FINANCIAL SVCS",0.00000001,0.0000001,0.000001,0.00001,0.01,0.05,0.09,0.25,0.25,0.1,0.03,0.03,0.03,0.00001,0.000001,0.000001,"DFS,DISCOVER FINANCIAL SVCS"
DG,"DOLLAR GENERAL CORP",0.00000001,0.0000001,0.01,0.01,0.04,0.06,0.1,0.22,0.32,0.16,0.07,0.04,0.0001,0.00001,0.000001,0.000001,"DG,DOLLAR GENERAL CORP"
DGX,"QUEST DIAGNOSTICS INC",0.00000001,0.0000001,0.000001,0.01,0.02,0.05,0.06,0.12,0.29,0.07,0.02,0.01,0.0001,0.00001,0.000001,0.000001,"DGX,QUEST DIAGNOSTICS INC"
DHI,"D R HORTON INC",0.00000001,0.0000001,0.01,0.02,0.03,0.03,0.12,0.24,0.31,0.17,0.07,0.02,0.0001,0.00001,0.000001,0.000001,"DHI,D R HORTON INC"
DHR,"DANAHER CORP",0.00000001,0.01,0.01,0.01,0.02,0.03,0.06,0.18,0.24,0.05,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"DHR,DANAHER CORP"
DIS,"DISNEY (WALT) CO",0.00000001,0.0000001,0.000001,0.00001,0.01,0.04,0.08,0.22,0.22,0.06,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"DIS,DISNEY (WALT) CO"
DISCA,"DISCOVERY INC",0.00000001,0.0000001,0.000001,0.08,0.09,0.15,0.2,0.31,0.33,0.18,0.11,0.05,0.03,0.01,0.000001,0.000001,"DISCA,DISCOVERY INC"
DISCB,"DISCOVERY INC",0.00000001,0.0000001,0.02,0.05,0.1,0.14,0.22,0.32,0.3,0.19,0.13,0.07,0.04,0.04,0.000001,0.000001,"DISCB,DISCOVERY INC"
DISCK,"DISCOVERY INC",0.00000001,0.0000001,0.000001,0.08,0.11,0.14,0.2,0.31,0.33,0.18,0.1,0.07,0.03,0.01,0.000001,0.000001,"DISCK,DISCOVERY INC"
DISH,"DISH NETWORK CORP",0.00000001,0.0000001,0.01,0.04,0.08,0.13,0.21,0.36,0.27,0.14,0.08,0.04,0.01,0.00001,0.000001,0.000001,"DISH,DISH NETWORK CORP"
DLR,"DIGITAL REALTY TRUST INC",0.00000001,0.0000001,0.000001,0.00001,0.01,0.04,0.1,0.18,0.31,0.14,0.04,0.01,0.0001,0.00001,0.000001,0.000001,"DLR,DIGITAL REALTY TRUST INC"
DLTR,"DOLLAR TREE INC",0.00000001,0.0000001,0.01,0.03,0.06,0.08,0.18,0.27,0.33,0.18,0.08,0.03,0.03,0.01,0.000001,0.000001,"DLTR,DOLLAR TREE INC"
DOV,"DOVER CORP",0.00000001,0.0000001,0.01,0.01,0.02,0.05,0.11,0.24,0.31,0.14,0.06,0.03,0.0001,0.00001,0.000001,0.000001,"DOV,DOVER CORP"
DPS,"DR PEPPER SNAPPLE GROUP INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.01,0.05,0.2,0.21,0.05,0.04,0.02,0.01,0.01,0.000001,0.000001,"DPS,DR PEPPER SNAPPLE GROUP INC"
DRE,"DUKE REALTY CORP",0.00000001,0.0000001,0.000001,0.01,0.02,0.05,0.13,0.22,0.27,0.13,0.03,0.001,0.0001,0.00001,0.000001,0.000001,"DRE,DUKE REALTY CORP"
DRI,"DARDEN RESTAURANTS INC",0.00000001,0.0000001,0.000001,0.03,0.03,0.07,0.12,0.26,0.35,0.18,0.08,0.05,0.01,0.00001,0.000001,0.000001,"DRI,DARDEN RESTAURANTS INC"
DTE,"DTE ENERGY CO",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.01,0.06,0.16,0.2,0.05,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"DTE,DTE ENERGY CO"
DUK,"DUKE ENERGY CORP",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.02,0.09,0.2,0.21,0.06,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"DUK,DUKE ENERGY CORP"
DVA,"DAVITA INC",0.00000001,0.0000001,0.000001,0.02,0.04,0.07,0.18,0.28,0.27,0.12,0.05,0.02,0.01,0.01,0.000001,0.000001,"DVA,DAVITA INC"
DVN,"DEVON ENERGY CORP",0.00000001,0.02,0.06,0.09,0.13,0.18,0.21,0.38,0.36,0.26,0.16,0.13,0.09,0.03,0.000001,0.000001,"DVN,DEVON ENERGY CORP"
DWDP,"DOWDUPONT INC",0.00000001,0.0000001,0.000001,0.02,0.03,0.05,0.09,0.2,0.28,0.14,0.04,0.01,0.0001,0.00001,0.000001,0.000001,"DWDP,DOWDUPONT INC"
DXC,"DXC TECHNOLOGY COMPANY",0.01,0.01,0.01,0.03,0.05,0.07,0.13,0.21,0.33,0.21,0.11,0.05,0.02,0.01,0.01,0,"DXC,DXC TECHNOLOGY COMPANY"
EA,"ELECTRONIC ARTS INC",0.00000001,0.0000001,0.000001,0.03,0.03,0.06,0.12,0.24,0.34,0.2,0.07,0.04,0.02,0.00001,0.000001,0.000001,"EA,ELECTRONIC ARTS INC"
EBAY,"EBAY INC",0.00000001,0.0000001,0.000001,0.03,0.05,0.07,0.13,0.27,0.3,0.16,0.08,0.03,0.02,0.00001,0.000001,0.000001,"EBAY,EBAY INC"
ECL,"ECOLAB INC",0.00000001,0.0000001,0.000001,0.01,0.01,0.01,0.03,0.11,0.17,0.02,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"ECL,ECOLAB INC"
ED,"CONSOLIDATED EDISON INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.04,0.08,0.19,0.21,0.04,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"ED,CONSOLIDATED EDISON INC"
EFX,"EQUIFAX INC",0.01,0.01,0.01,0.03,0.03,0.05,0.08,0.15,0.26,0.13,0.05,0.03,0.02,0,0,0,"EFX,EQUIFAX INC"
EIX,"EDISON INTERNATIONAL",0.00000001,0.0000001,0.01,0.01,0.03,0.04,0.08,0.21,0.24,0.05,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"EIX,EDISON INTERNATIONAL"
EL,"LAUDER (ESTEE) COS INC -CL A",0.00000001,0.0000001,0.000001,0.00001,0.01,0.04,0.08,0.16,0.31,0.09,0.03,0.001,0.0001,0.00001,0.000001,0.000001,"EL,LAUDER (ESTEE) COS INC -CL A"
EMN,"EASTMAN CHEMICAL CO",0.00000001,0.0000001,0.000001,0.01,0.03,0.04,0.09,0.22,0.3,0.15,0.06,0.001,0.0001,0.00001,0.000001,0.000001,"EMN,EASTMAN CHEMICAL CO"
EMR,"EMERSON ELECTRIC CO",0.00000001,0.0000001,0.000001,0.00001,0.02,0.05,0.12,0.24,0.35,0.14,0.06,0.02,0.0001,0.00001,0.000001,0.000001,"EMR,EMERSON ELECTRIC CO"
EOG,"EOG RESOURCES INC",0.00000001,0.0000001,0.000001,0.01,0.05,0.08,0.16,0.25,0.28,0.19,0.08,0.06,0.02,0.01,0.000001,0.000001,"EOG,EOG RESOURCES INC"
EQIX,"EQUINIX INC",0.00000001,0.0000001,0.01,0.01,0.02,0.03,0.08,0.16,0.27,0.09,0.02,0.01,0.01,0.00001,0.000001,0.000001,"EQIX,EQUINIX INC"
EQR,"EQUITY RESIDENTIAL",0.00000001,0.0000001,0.000001,0.00001,0.02,0.06,0.1,0.3,0.24,0.04,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"EQR,EQUITY RESIDENTIAL"
EQT,"EQT CORP",0.00000001,0.0000001,0.02,0.06,0.1,0.13,0.22,0.38,0.36,0.18,0.04,0.04,0.01,0.00001,0.000001,0.000001,"EQT,EQT CORP"
ES,"EVERSOURCE ENERGY",0.00000001,0.0000001,0.000001,0.00001,0.01,0.02,0.06,0.21,0.19,0.04,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"ES,EVERSOURCE ENERGY"
ESRX,"EXPRESS SCRIPTS HOLDING CO",0.00000001,0.0000001,0.01,0.03,0.07,0.09,0.17,0.25,0.28,0.12,0.05,0.02,0.01,0.00001,0.000001,0.000001,"ESRX,EXPRESS SCRIPTS HOLDING CO"
ESS,"ESSEX PROPERTY TRUST",0.00000001,0.0000001,0.000001,0.01,0.02,0.07,0.11,0.29,0.28,0.1,0.03,0.001,0.0001,0.00001,0.000001,0.000001,"ESS,ESSEX PROPERTY TRUST"
ETFC,"E TRADE FINANCIAL CORP",0.00000001,0.0000001,0.000001,0.02,0.05,0.07,0.13,0.24,0.41,0.2,0.09,0.04,0.01,0.00001,0.000001,0.000001,"ETFC,E TRADE FINANCIAL CORP"
ETH,Ethereum,0.00000001,0.03,0.09,0.19,0.22,0.29,0.36,0.39,0.52,0.46,0.44,0.4,0.37,0.27,0.19,0.11,"ETH,Ethereum"
ETN,"EATON CORP PLC",0.00000001,0.0000001,0.000001,0.00001,0.01,0.04,0.1,0.21,0.33,0.13,0.04,0.01,0.0001,0.00001,0.000001,0.000001,"ETN,EATON CORP PLC"
ETR,"ENTERGY CORP",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.01,0.08,0.22,0.24,0.07,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"ETR,ENTERGY CORP"
